relation	pattern
hasAcademicAdvisor	[[prp]] assistant;
hasAcademicAdvisor	became assistant;
hasAcademicAdvisor	[[det]] assistant [[con]];
hasAcademicAdvisor	[[det]] assistant of;
hasAcademicAdvisor	[[det]] assistant to;
hasAcademicAdvisor	[[adj]] assistant of;
hasAcademicAdvisor	assistant to;
hasAcademicAdvisor	s assistant;
hasAcademicAdvisor	[[adj]] assistant for;
hasAcademicAdvisor	[[det]] assistant for;
hasAcademicAdvisor	assistant of;
hasAcademicAdvisor	[[adj]] assistant to;
hasAcademicAdvisor	[[adj]] assistant [[con]];
hasAcademicAdvisor	became assistant to;
hasAcademicAdvisor	was assistant of;
hasAcademicAdvisor	was assistant;
hasAcademicAdvisor	[[det]] assistant;
hasAcademicAdvisor	[[adj]] assistant;
hasAcademicAdvisor	received [[prp]] thesis;
hasAcademicAdvisor	earned [[prp]] wordnetPhueDue;
hasAcademicAdvisor	received under [[det]] guidance of;
hasAcademicAdvisor	[[adj]] met;
hasAcademicAdvisor	has met;
hasAcademicAdvisor	is met by;
hasAcademicAdvisor	where met with;
hasAcademicAdvisor	then met with;
hasAcademicAdvisor	that met;
hasAcademicAdvisor	has met [[con]];
hasAcademicAdvisor	also met;
hasAcademicAdvisor	met as;
hasAcademicAdvisor	had met through;
hasAcademicAdvisor	also met from;
hasAcademicAdvisor	[[con]] met [[con]];
hasAcademicAdvisor	first met;
hasAcademicAdvisor	met by;
hasAcademicAdvisor	met [[pro]];
hasAcademicAdvisor	met up;
hasAcademicAdvisor	had met when;
hasAcademicAdvisor	met [[prp]];
hasAcademicAdvisor	where met [[con]];
hasAcademicAdvisor	met [[det]];
hasAcademicAdvisor	first met [[det]];
hasAcademicAdvisor	first met when;
hasAcademicAdvisor	met again;
hasAcademicAdvisor	later met;
hasAcademicAdvisor	[[con]] met with;
hasAcademicAdvisor	had met;
hasAcademicAdvisor	[[con]] met up;
hasAcademicAdvisor	first met at;
hasAcademicAdvisor	whom met;
hasAcademicAdvisor	[[adj]] met while;
hasAcademicAdvisor	had met [[con]];
hasAcademicAdvisor	after met;
hasAcademicAdvisor	first met [[con]];
hasAcademicAdvisor	met with;
hasAcademicAdvisor	soon met;
hasAcademicAdvisor	has met with;
hasAcademicAdvisor	was met by;
hasAcademicAdvisor	had met with;
hasAcademicAdvisor	first met with;
hasAcademicAdvisor	[[adj]] met [[det]];
hasAcademicAdvisor	also met [[adj]];
hasAcademicAdvisor	who met;
hasAcademicAdvisor	met who;
hasAcademicAdvisor	have met [[con]];
hasAcademicAdvisor	met [[num]];
hasAcademicAdvisor	then met;
hasAcademicAdvisor	[[con]] met;
hasAcademicAdvisor	where met [[det]];
hasAcademicAdvisor	where met;
hasAcademicAdvisor	met while;
hasAcademicAdvisor	was met;
hasAcademicAdvisor	where met [[adj]];
hasAcademicAdvisor	also met with;
hasAcademicAdvisor	have met with;
hasAcademicAdvisor	met [[con]];
hasAcademicAdvisor	which met;
hasAcademicAdvisor	also met [[con]];
hasAcademicAdvisor	also met [[prp]];
hasAcademicAdvisor	had met [[det]];
hasAcademicAdvisor	[[pro]] met;
hasAcademicAdvisor	also met [[det]];
hasAcademicAdvisor	met when;
hasAcademicAdvisor	met [[adj]];
hasAcademicAdvisor	[[num]] met;
hasAcademicAdvisor	later met with;
hasAcademicAdvisor	had met while;
hasAcademicAdvisor	when met;
hasAcademicAdvisor	[[con]] met [[adj]];
hasAcademicAdvisor	[[det]] met;
hasAcademicAdvisor	soon met [[con]];
hasAcademicAdvisor	never met;
hasAcademicAdvisor	have met;
hasAcademicAdvisor	[[con]] met [[det]];
hasAcademicAdvisor	met where;
hasAcademicAdvisor	met through;
hasAcademicAdvisor	met after;
hasAcademicAdvisor	joined then;
hasAcademicAdvisor	been joined by;
hasAcademicAdvisor	soon joined [[con]];
hasAcademicAdvisor	[[con]] joined by;
hasAcademicAdvisor	joined to;
hasAcademicAdvisor	joined becoming;
hasAcademicAdvisor	was joined at;
hasAcademicAdvisor	joined by;
hasAcademicAdvisor	joined [[adj]];
hasAcademicAdvisor	then joined with;
hasAcademicAdvisor	joined along;
hasAcademicAdvisor	now joined;
hasAcademicAdvisor	when joined;
hasAcademicAdvisor	joined under;
hasAcademicAdvisor	[[det]] joined with;
hasAcademicAdvisor	while joined;
hasAcademicAdvisor	[[con]] joined [[con]];
hasAcademicAdvisor	also joined [[con]];
hasAcademicAdvisor	then joined as;
hasAcademicAdvisor	also joined by;
hasAcademicAdvisor	then joined under;
hasAcademicAdvisor	be joined by;
hasAcademicAdvisor	[[adj]] joined;
hasAcademicAdvisor	was joined as;
hasAcademicAdvisor	was joined [[con]];
hasAcademicAdvisor	where joined;
hasAcademicAdvisor	had joined up;
hasAcademicAdvisor	joined after;
hasAcademicAdvisor	later joined along;
hasAcademicAdvisor	as joined along;
hasAcademicAdvisor	had joined [[con]];
hasAcademicAdvisor	later joined with;
hasAcademicAdvisor	joined [[pro]];
hasAcademicAdvisor	joined when;
hasAcademicAdvisor	later joined [[con]];
hasAcademicAdvisor	joined up;
hasAcademicAdvisor	officially became [[adj]] generation member along;
hasAcademicAdvisor	joined as;
hasAcademicAdvisor	then joined along;
hasAcademicAdvisor	joined together;
hasAcademicAdvisor	were joined by;
hasAcademicAdvisor	where joined with;
hasAcademicAdvisor	again joined;
hasAcademicAdvisor	has joined with;
hasAcademicAdvisor	then joined [[con]];
hasAcademicAdvisor	after joined;
hasAcademicAdvisor	joined with;
hasAcademicAdvisor	was joined while;
hasAcademicAdvisor	soon joined by;
hasAcademicAdvisor	as joined;
hasAcademicAdvisor	[[con]] joined [[adj]];
hasAcademicAdvisor	is joined with;
hasAcademicAdvisor	who joined;
hasAcademicAdvisor	later joined while;
hasAcademicAdvisor	[[con]] joined;
hasAcademicAdvisor	joined where;
hasAcademicAdvisor	then joined by;
hasAcademicAdvisor	which joined;
hasAcademicAdvisor	joined s;
hasAcademicAdvisor	joined while;
hasAcademicAdvisor	since joined with;
hasAcademicAdvisor	had joined with;
hasAcademicAdvisor	joined [[prp]];
hasAcademicAdvisor	joined [[con]];
hasAcademicAdvisor	joined against;
hasAcademicAdvisor	also joined;
hasAcademicAdvisor	soon joined;
hasAcademicAdvisor	also joined with;
hasAcademicAdvisor	was joined by;
hasAcademicAdvisor	soon joined with;
hasAcademicAdvisor	have joined;
hasAcademicAdvisor	also joined along;
hasAcademicAdvisor	later joined by;
hasAcademicAdvisor	also joined as;
hasAcademicAdvisor	was joined;
hasAcademicAdvisor	was joined in;
hasAcademicAdvisor	until joined;
hasAcademicAdvisor	studied mathematics;
hasAcademicAdvisor	studied mathematics [[con]];
hasAcademicAdvisor	received from [[det]] thesis on;
hasAcademicAdvisor	wrote [[det]] dissertation on;
hasAcademicAdvisor	wrote [[prp]] dissertation;
hasAcademicAdvisor	wrote [[det]] dissertation;
hasAcademicAdvisor	wrote [[prp]] dissertation on;
hasAcademicAdvisor	studied where [[det]] student of;
hasAcademicAdvisor	worked under [[det]] guidance of;
hasAcademicAdvisor	is seen [[adj]];
hasAcademicAdvisor	be seen [[con]];
hasAcademicAdvisor	had seen to;
hasAcademicAdvisor	was seen with;
hasAcademicAdvisor	is seen to;
hasAcademicAdvisor	be seen with;
hasAcademicAdvisor	ever seen;
hasAcademicAdvisor	then seen;
hasAcademicAdvisor	also seen [[adj]];
hasAcademicAdvisor	be seen by;
hasAcademicAdvisor	also seen with;
hasAcademicAdvisor	had seen since;
hasAcademicAdvisor	is seen by;
hasAcademicAdvisor	[[det]] seen;
hasAcademicAdvisor	was seen by;
hasAcademicAdvisor	often seen as;
hasAcademicAdvisor	had seen in;
hasAcademicAdvisor	had seen [[prp]];
hasAcademicAdvisor	be seen to;
hasAcademicAdvisor	first seen;
hasAcademicAdvisor	seen as;
hasAcademicAdvisor	be seen [[adj]];
hasAcademicAdvisor	as seen when;
hasAcademicAdvisor	[[adj]] seen when;
hasAcademicAdvisor	was seen to;
hasAcademicAdvisor	have seen;
hasAcademicAdvisor	often seen;
hasAcademicAdvisor	[[adj]] seen with;
hasAcademicAdvisor	had seen;
hasAcademicAdvisor	was seen;
hasAcademicAdvisor	not seen;
hasAcademicAdvisor	s seen;
